_id,MonthEnding,HBT,HBTQF,PatientType,WaitType,Specialty,SpecialtyQF,Waits,WaitsQF,WaitsOver12Weeks,WaitsOver12WeeksQF,WaitsOver52Weeks,WaitsOver52WeeksQF,WaitsOver78Weeks,WaitsOver78WeeksQF,WaitsOver104Weeks,WaitsOver104WeeksQF,Median,MedianQF,90thPercentile,90thPercentileQF
108,20250930,S08000017,,New Outpatient,Completed,Z9,d,2633,,863,,44,,0,,0,,36,,320,
109,20231130,S08000017,,New Outpatient,Completed,Z9,d,2714,,857,,11,,1,,0,,37,,242,
110,20241130,S08000017,,New Outpatient,Completed,Z9,d,2819,,1033,,72,,0,,0,,45,,306.2,
111,20251130,S08000017,,New Outpatient,Completed,Z9,d,2500,,870,,95,,0,,0,,41,,341,
112,20240131,S08000017,,New Outpatient,Completed,Z9,d,2499,,787,,23,,0,,0,,35,,271.2,
113,20250131,S08000017,,New Outpatient,Completed,Z9,d,2528,,934,,90,,0,,0,,48,,345,
114,20240331,S08000017,,New Outpatient,Completed,Z9,d,2273,,624,,21,,0,,0,,32,,242,
115,20250331,S08000017,,New Outpatient,Completed,Z9,d,2601,,911,,117,,19,,2,,36,,350,
116,20240531,S08000017,,New Outpatient,Completed,Z9,d,3174,,1084,,115,,0,,0,,42,,298,
117,20250531,S08000017,,New Outpatient,Completed,Z9,d,2608,,854,,43,,1,,0,,41,,324,
118,20240731,S08000017,,New Outpatient,Completed,Z9,d,2602,,809,,22,,0,,0,,38,,273,
119,20250731,S08000017,,New Outpatient,Completed,Z9,d,2490,,937,,75,,0,,0,,44,,339,
120,20240831,S08000017,,New Outpatient,Completed,Z9,d,2381,,752,,17,,0,,0,,36,,278,
121,20250831,S08000017,,New Outpatient,Completed,Z9,d,2338,,827,,23,,0,,0,,40,,334,
122,20241031,S08000017,,New Outpatient,Completed,Z9,d,2558,,791,,76,,1,,0,,37,,320,
123,20251031,S08000017,,New Outpatient,Completed,Z9,d,2635,,913,,54,,3,,0,,37,,343,
124,20231231,S08000017,,New Outpatient,Completed,Z9,d,2254,,731,,12,,1,,0,,36,,252,
125,20241231,S08000017,,New Outpatient,Completed,Z9,d,2422,,770,,94,,0,,0,,35,,312.8,
126,20250228,S08000019,,New Outpatient,Completed,Z9,d,5784,,1246,,97,,32,,9,,29,,146,
127,20240229,S08000019,,New Outpatient,Completed,Z9,d,6306,,1598,,15,,0,,0,,28,,196,
128,20240430,S08000019,,New Outpatient,Completed,Z9,d,6565,,1763,,43,,5,,0,,33,,218.6,
129,20250430,S08000019,,New Outpatient,Completed,Z9,d,6750,,1195,,56,,20,,8,,35,,155,
130,20240630,S08000019,,New Outpatient,Completed,Z9,d,6356,,1725,,130,,21,,1,,32,,182,
131,20250630,S08000019,,New Outpatient,Completed,Z9,d,6697,,1203,,20,,5,,2,,34,,136.4,
132,20240930,S08000019,,New Outpatient,Completed,Z9,d,6529,,1797,,64,,8,,0,,34,,159,
133,20250930,S08000019,,New Outpatient,Completed,Z9,d,7192,,1945,,162,,38,,4,,38,,158,
134,20231130,S08000019,,New Outpatient,Completed,Z9,d,7228,,2503,,50,,0,,0,,46,,211,
135,20241130,S08000019,,New Outpatient,Completed,Z9,d,6310,,1202,,7,,0,,0,,33,,122.1,
136,20251130,S08000019,,New Outpatient,Completed,Z9,d,6173,,1776,,174,,42,,26,,41,,159,
137,20240131,S08000019,,New Outpatient,Completed,Z9,d,6471,,1929,,16,,0,,0,,41,,217,
138,20250131,S08000019,,New Outpatient,Completed,Z9,d,6139,,1297,,23,,1,,0,,35,,134,
139,20240331,S08000019,,New Outpatient,Completed,Z9,d,6074,,1641,,102,,57,,1,,31,,194,
140,20250331,S08000019,,New Outpatient,Completed,Z9,d,6391,,1371,,79,,21,,9,,29,,151,
141,20240531,S08000019,,New Outpatient,Completed,Z9,d,7225,,2148,,103,,22,,1,,35,,204,
142,20250531,S08000019,,New Outpatient,Completed,Z9,d,7035,,1184,,103,,31,,27,,33,,153,
143,20240731,S08000019,,New Outpatient,Completed,Z9,d,6192,,1462,,51,,0,,0,,32,,154.9,
144,20250731,S08000019,,New Outpatient,Completed,Z9,d,6677,,1399,,60,,21,,4,,34,,166,
145,20240831,S08000019,,New Outpatient,Completed,Z9,d,6694,,1951,,139,,14,,0,,36,,174,
146,20250831,S08000019,,New Outpatient,Completed,Z9,d,6262,,1451,,144,,36,,20,,36,,159.9,
147,20241031,S08000019,,New Outpatient,Completed,Z9,d,6737,,1602,,16,,2,,0,,34,,143.4,
148,20251031,S08000019,,New Outpatient,Completed,Z9,d,6685,,1881,,236,,56,,30,,40,,155.6,
149,20231231,S08000019,,New Outpatient,Completed,Z9,d,5342,,1490,,26,,0,,0,,36,,209.9,
150,20241231,S08000019,,New Outpatient,Completed,Z9,d,5826,,1064,,47,,1,,0,,28,,120,
151,20250228,S08000020,,New Outpatient,Completed,Z9,d,9469,,3850,,1065,,476,,191,,57,,383,
152,20240229,S08000020,,New Outpatient,Completed,Z9,d,9968,,3877,,725,,374,,61,,52,,322,
153,20240430,S08000020,,New Outpatient,Completed,Z9,d,9254,,3190,,493,,173,,34,,49,,277,
154,20250430,S08000020,,New Outpatient,Completed,Z9,d,10214,,3743,,827,,325,,157,,49,,324,
155,20240630,S08000020,,New Outpatient,Completed,Z9,d,9133,,3147,,702,,332,,103,,48,,288,
156,20250630,S08000020,,New Outpatient,Completed,Z9,d,10608,,3677,,818,,231,,124,,49,,314,
157,20240930,S08000020,,New Outpatient,Completed,Z9,d,9715,,3829,,669,,194,,35,,55,,300,
158,20250930,S08000020,,New Outpatient,Completed,Z9,d,10177,,3668,,975,,222,,81,,51,,357,
159,20231130,S08000020,,New Outpatient,Completed,Z9,d,10884,,4037,,741,,336,,93,,52,,287,
160,20241130,S08000020,,New Outpatient,Completed,Z9,d,10100,,3888,,880,,369,,156,,53,,327,
161,20251130,S08000020,,New Outpatient,Completed,Z9,d,10636,,4509,,1541,,340,,125,,62,,435.5,
162,20240131,S08000020,,New Outpatient,Completed,Z9,d,9968,,3615,,591,,310,,58,,53,,287,
163,20250131,S08000020,,New Outpatient,Completed,Z9,d,10019,,3991,,992,,511,,218,,59,,363,
164,20240331,S08000020,,New Outpatient,Completed,Z9,d,10139,,4049,,810,,366,,63,,50,,332,
165,20250331,S08000020,,New Outpatient,Completed,Z9,d,10365,,4314,,1321,,499,,209,,54,,404,
166,20240531,S08000020,,New Outpatient,Completed,Z9,d,10241,,3479,,649,,302,,60,,50,,279,
167,20250531,S08000020,,New Outpatient,Completed,Z9,d,10731,,3627,,843,,240,,116,,48,,309,
168,20240731,S08000020,,New Outpatient,Completed,Z9,d,9092,,2948,,574,,183,,73,,46,,270,
169,20250731,S08000020,,New Outpatient,Completed,Z9,d,9274,,2894,,668,,207,,135,,43,,291,
170,20240831,S08000020,,New Outpatient,Completed,Z9,d,9173,,3245,,613,,230,,76,,49,,292,
171,20250831,S08000020,,New Outpatient,Completed,Z9,d,8826,,2836,,771,,332,,152,,49,,337,
172,20241031,S08000020,,New Outpatient,Completed,Z9,d,9935,,3657,,753,,207,,91,,49,,296,
173,20251031,S08000020,,New Outpatient,Completed,Z9,d,10678,,3977,,1295,,343,,106,,52,,406.3,
174,20231231,S08000020,,New Outpatient,Completed,Z9,d,8411,,2952,,715,,275,,49,,46,,329,
175,20241231,S08000020,,New Outpatient,Completed,Z9,d,8354,,3147,,695,,329,,133,,49,,323,
176,20250228,S08000022,,New Outpatient,Completed,Z9,d,4954,,2253,,634,,203,,56,,70,,386.7,
177,20240229,S08000022,,New Outpatient,Completed,Z9,d,4376,,1901,,326,,175,,17,,62,,331,
178,20240430,S08000022,,New Outpatient,Completed,Z9,d,4229,,1516,,269,,87,,2,,48,,302,
179,20250430,S08000022,,New Outpatient,Completed,Z9,d,4546,,1492,,359,,133,,9,,44,,316,
180,20240630,S08000022,,New Outpatient,Completed,Z9,d,4431,,1837,,394,,94,,4,,55,,349,
181,20250630,S08000022,,New Outpatient,Completed,Z9,d,5389,,2144,,731,,323,,59,,53,,435,
182,20240930,S08000022,,New Outpatient,Completed,Z9,d,4945,,2146,,657,,242,,25,,66,,418,
183,20250930,S08000022,,New Outpatient,Completed,Z9,d,5868,,2466,,898,,359,,25,,60,,484,
184,20231130,S08000022,,New Outpatient,Completed,Z9,d,4822,,1975,,264,,65,,11,,57,,317,
185,20241130,S08000022,,New Outpatient,Completed,Z9,d,4883,,2093,,428,,216,,30,,62,,343,
186,20251130,S08000022,,New Outpatient,Completed,Z9,d,5693,,2558,,755,,222,,70,,65,,418,
187,20240131,S08000022,,New Outpatient,Completed,Z9,d,4378,,1726,,278,,134,,24,,56,,317,
188,20250131,S08000022,,New Outpatient,Completed,Z9,d,5055,,2041,,536,,290,,21,,56,,382.6,
189,20240331,S08000022,,New Outpatient,Completed,Z9,d,4320,,1729,,346,,144,,7,,50,,336,
190,20250331,S08000022,,New Outpatient,Completed,Z9,d,5205,,2166,,705,,268,,72,,55,,469.2,
191,20240531,S08000022,,New Outpatient,Completed,Z9,d,4813,,1779,,370,,151,,8,,48,,314,
192,20250531,S08000022,,New Outpatient,Completed,Z9,d,5076,,1778,,486,,246,,89,,50,,345.5,
193,20240731,S08000022,,New Outpatient,Completed,Z9,d,4436,,1718,,402,,151,,10,,51,,341.5,
194,20250731,S08000022,,New Outpatient,Completed,Z9,d,5223,,2132,,728,,258,,58,,55,,453,
195,20240831,S08000022,,New Outpatient,Completed,Z9,d,4815,,1950,,535,,223,,19,,56,,386.6,
196,20250831,S08000022,,New Outpatient,Completed,Z9,d,5253,,2203,,824,,436,,150,,58,,507,
197,20241031,S08000022,,New Outpatient,Completed,Z9,d,5240,,2222,,604,,155,,10,,58,,390,
198,20251031,S08000022,,New Outpatient,Completed,Z9,d,6041,,2576,,579,,146,,49,,56,,355,
199,20231231,S08000022,,New Outpatient,Completed,Z9,d,3898,,1535,,232,,66,,16,,52,,308,
200,20241231,S08000022,,New Outpatient,Completed,Z9,d,4393,,1677,,409,,193,,34,,46,,350,
201,20250228,S08000024,,New Outpatient,Completed,Z9,d,15403,,4729,,1202,,409,,101,,32,,314,
202,20240229,S08000024,,New Outpatient,Completed,Z9,d,17677,,6104,,1191,,436,,6,,32,,276,
203,20240430,S08000024,,New Outpatient,Completed,Z9,d,16646,,4773,,832,,290,,13,,34,,245,
204,20250430,S08000024,,New Outpatient,Completed,Z9,d,15105,,4455,,1127,,488,,129,,35,,305,
205,20240630,S08000024,,New Outpatient,Completed,Z9,d,16222,,4491,,661,,186,,5,,29,,233,
206,20250630,S08000024,,New Outpatient,Completed,Z9,d,15845,,4979,,1439,,717,,241,,33,,332,
207,20240930,S08000024,,New Outpatient,Completed,Z9,d,16082,,4814,,877,,257,,37,,31,,249,
208,20250930,S08000024,,New Outpatient,Completed,Z9,d,17398,,6085,,2356,,971,,304,,41,,448,
209,20231130,S08000024,,New Outpatient,Completed,Z9,d,19331,,6391,,1219,,246,,4,,37,,257,
210,20241130,S08000024,,New Outpatient,Completed,Z9,d,16646,,4662,,936,,290,,20,,29,,253,
211,20251130,S08000024,,New Outpatient,Completed,Z9,d,17577,,6664,,2252,,992,,362,,45,,443,
212,20240131,S08000024,,New Outpatient,Completed,Z9,d,18424,,6277,,1037,,327,,1,,40,,261,
213,20250131,S08000024,,New Outpatient,Completed,Z9,d,16420,,4780,,1010,,426,,97,,36,,263,
214,20240331,S08000024,,New Outpatient,Completed,Z9,d,17107,,5448,,955,,340,,13,,33,,263.4,
215,20250331,S08000024,,New Outpatient,Completed,Z9,d,16276,,4918,,1244,,452,,116,,32,,302,
216,20240531,S08000024,,New Outpatient,Completed,Z9,d,17703,,5088,,728,,233,,11,,30,,238,
217,20250531,S08000024,,New Outpatient,Completed,Z9,d,16259,,4832,,1032,,427,,104,,36,,267,
218,20240731,S08000024,,New Outpatient,Completed,Z9,d,16730,,4458,,735,,250,,27,,27,,239,
219,20250731,S08000024,,New Outpatient,Completed,Z9,d,16191,,5413,,1691,,887,,382,,37,,374,
220,20240831,S08000024,,New Outpatient,Completed,Z9,d,16561,,4744,,761,,246,,34,,31,,244,
221,20250831,S08000024,,New Outpatient,Completed,Z9,d,16373,,5848,,2254,,1315,,461,,41,,503,
222,20241031,S08000024,,New Outpatient,Completed,Z9,d,18131,,5380,,986,,361,,15,,33,,250,
223,20251031,S08000024,,New Outpatient,Completed,Z9,d,18142,,6435,,2219,,1047,,399,,41,,418,
224,20231231,S08000024,,New Outpatient,Completed,Z9,d,15228,,4879,,883,,186,,6,,31,,243,
225,20241231,S08000024,,New Outpatient,Completed,Z9,d,15372,,4200,,994,,324,,34,,28,,262,
226,20250228,S08000025,,New Outpatient,Completed,Z9,d,404,,133,,12,,2,,0,,47,,274.7,
227,20240229,S08000025,,New Outpatient,Completed,Z9,d,391,,120,,2,,0,,0,,40,,241,
228,20240430,S08000025,,New Outpatient,Completed,Z9,d,285,,96,,8,,1,,0,,33,,254.8,
229,20250430,S08000025,,New Outpatient,Completed,Z9,d,335,,69,,6,,0,,0,,32,,293.4,
230,20240630,S08000025,,New Outpatient,Completed,Z9,d,332,,95,,6,,1,,0,,48.5,,237,
231,20250630,S08000025,,New Outpatient,Completed,Z9,d,515,,185,,44,,40,,0,,41,,335,
232,20240930,S08000025,,New Outpatient,Completed,Z9,d,365,,154,,33,,3,,0,,54,,331.8,
233,20250930,S08000025,,New Outpatient,Completed,Z9,d,509,,180,,5,,0,,0,,43,,288.2,
234,20231130,S08000025,,New Outpatient,Completed,Z9,d,477,,171,,18,,1,,0,,43,,236.8,
235,20241130,S08000025,,New Outpatient,Completed,Z9,d,447,,184,,16,,4,,1,,62,,313.2,
236,20251130,S08000025,,New Outpatient,Completed,Z9,d,484,,148,,17,,0,,0,,47,,274,
237,20240131,S08000025,,New Outpatient,Completed,Z9,d,286,,82,,3,,0,,0,,54,,288,
238,20250131,S08000025,,New Outpatient,Completed,Z9,d,315,,93,,21,,4,,0,,46,,308.8,
239,20240331,S08000025,,New Outpatient,Completed,Z9,d,431,,188,,10,,1,,0,,63,,291,
240,20250331,S08000025,,New Outpatient,Completed,Z9,d,555,,245,,21,,3,,0,,64,,309,
241,20240531,S08000025,,New Outpatient,Completed,Z9,d,493,,168,,6,,0,,0,,55,,242,
242,20250531,S08000025,,New Outpatient,Completed,Z9,d,434,,103,,5,,2,,0,,27.5,,290.5,
243,20240731,S08000025,,New Outpatient,Completed,Z9,d,339,,83,,20,,2,,0,,38,,302.2,
244,20250731,S08000025,,New Outpatient,Completed,Z9,d,532,,221,,63,,7,,0,,51,,388,
245,20240831,S08000025,,New Outpatient,Completed,Z9,d,420,,97,,22,,7,,0,,44.5,,272.1,
246,20250831,S08000025,,New Outpatient,Completed,Z9,d,447,,183,,104,,3,,0,,54,,494.4,
247,20241031,S08000025,,New Outpatient,Completed,Z9,d,392,,151,,44,,12,,4,,56,,410.1,
248,20251031,S08000025,,New Outpatient,Completed,Z9,d,382,,133,,0,,0,,0,,27,,252.9,
249,20231231,S08000025,,New Outpatient,Completed,Z9,d,309,,98,,10,,0,,0,,34,,309.4,
250,20241231,S08000025,,New Outpatient,Completed,Z9,d,300,,70,,18,,2,,0,,36,,266.1,
251,20250228,S08000026,,New Outpatient,Completed,Z9,d,375,,124,,18,,0,,0,,51,,300,
252,20240229,S08000026,,New Outpatient,Completed,Z9,d,512,,186,,1,,0,,0,,57,,164.6,
253,20240430,S08000026,,New Outpatient,Completed,Z9,d,330,,77,,5,,1,,0,,33.5,,172,
254,20250430,S08000026,,New Outpatient,Completed,Z9,d,386,,111,,5,,0,,0,,42,,224.5,
255,20240630,S08000026,,New Outpatient,Completed,Z9,d,337,,54,,6,,0,,0,,33,,134.4,
256,20250630,S08000026,,New Outpatient,Completed,Z9,d,405,,133,,12,,2,,0,,50,,277.6,
257,20240930,S08000026,,New Outpatient,Completed,Z9,d,283,,63,,1,,0,,0,,41,,125,
258,20250930,S08000026,,New Outpatient,Completed,Z9,d,388,,102,,3,,2,,0,,47.5,,163.5,
259,20231130,S08000026,,New Outpatient,Completed,Z9,d,449,,159,,0,,0,,0,,53,,185,
260,20241130,S08000026,,New Outpatient,Completed,Z9,d,557,,180,,21,,0,,0,,51,,242.4,
